Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons,Overall Review,Overall Review with Title,Sentiment,Check
LinkedIn,5,7/1/2024,amazing perks and still a great culture,senior software engineer,current employee more than 5 years,"New York, NY",food gym coffee ice creams and just the best people,declining but still top of the market culture,food gym coffee ice creams and just the best people declining but still top of the market culture,amazing perks and still a great culture // food gym coffee ice creams and just the best people declining but still top of the market culture,Positive,
Apple,5,12/2/2024,my time at the fruit stand,technical expert,former employee more than 5 years,"Durham, NC",fast paced environment youthful and friendly team,work life balance wasnt the best,fast paced environment youthful and friendly team work life balance wasnt the best,my time at the fruit stand // fast paced environment youthful and friendly team work life balance wasnt the best,Positive,
Robert Bosch,5,1/2/2024,bosch,praktikant ingenieur,former employee less than 1 year,"Bühl, Baden-Wurttemberg",tech leading company in automotive,you will probably need to speak mediun to high german,tech leading company in automotive you will probably need to speak mediun to high german,bosch // tech leading company in automotive you will probably need to speak mediun to high german,Positive,
NCS,5,11/2/2024,it was good,software engineer,former employee,Pune,good work culture people are nice,no cons a little messed up management,good work culture people are nice no cons a little messed up management,it was good // good work culture people are nice no cons a little messed up management,Positive,
Atos,5,12/9/2023,great job,it service desk tier ii,former employee,"Mason, OH",wonderful staff training was great,none the staff there was great,wonderful staff training was great none the staff there was great,great job // wonderful staff training was great none the staff there was great,Positive,
Visa Inc.,5,12/12/2023,great company to work for,program analyst,current employee more than 1 year,"Foster City, CA",worklife balance great benefits great cafeteria,carrer development can be challenging to navigate,worklife balance great benefits great cafeteria carrer development can be challenging to navigate,great company to work for // worklife balance great benefits great cafeteria carrer development can be challenging to navigate,Positive,
Hewlett Packard Enterprise | HPE,5,3/2/2024,great company to work,senior consultant,current employee more than 8 years,Bengaluru,good worklife balance opportunity to work on niche skills,long term individuals will have less salary compare to market,good worklife balance opportunity to work on niche skills long term individuals will have less salary compare to market,great company to work // good worklife balance opportunity to work on niche skills long term individuals will have less salary compare to market,Positive,
Garena,5,22/6/2023,a good company,video editor,former employee more than 3 years,Hanoi,standard qualify professional good benefits,friendly good healthcare nice environment,standard qualify professional good benefits friendly good healthcare nice environment,a good company // standard qualify professional good benefits friendly good healthcare nice environment,Positive,
NCR,5,2/11/2023,great company,quality engineer,current employee,"Germantown, MD",great colleagues to work with family like work environment,bad leadership bad managers upper management does not listen to employees when managers fail to perform good leadership,great colleagues to work with family like work environment bad leadership bad managers upper management does not listen to employees when managers fail to perform good leadership,great company // great colleagues to work with family like work environment bad leadership bad managers upper management does not listen to employees when managers fail to perform good leadership,Positive,
Workday,5,16/11/2023,great company to work,senior functional consultant,current employee more than 3 years,"Chicago, IL",great culture you are recognized for your work,nothing i can think of,great culture you are recognized for your work nothing i can think of,great company to work // great culture you are recognized for your work nothing i can think of,Positive,
Avanade,5,23/10/2023,great experience and good people,associate manager software engineering,current employee more than 5 years,"New York, NY",good culture chance to work for different companies and different technologies,when on the bench between projects it is difficult to get onto projects and project primary contacts only take on people in their own circle and company support is very limited in help on getting a project,good culture chance to work for different companies and different technologies when on the bench between projects it is difficult to get onto projects and project primary contacts only take on people in their own circle and company support is very limited in help on getting a project,great experience and good people // good culture chance to work for different companies and different technologies when on the bench between projects it is difficult to get onto projects and project primary contacts only take on people in their own circle and company support is very limited in help on getting a project,Positive,
UST,5,8/9/2023,best place to work,lead technical recruiter,current employee less than 1 year,"Aliso Viejo, CA",best environment admire your work growth chances are very high,i dont see any cons,best environment admire your work growth chances are very high i dont see any cons,best place to work // best environment admire your work growth chances are very high i dont see any cons,Positive,
Autodesk,5,9/6/2023,overall amazing company in every way possible,anonymous employee,former employee more than 1 year,"San Diego, CA",management is excellent autodesk is a large crop but feels very small since there are small teams that work together benefits are outstanding diversity inclusive good work life balance,it can be challenging at times to know who to reach out to amongst different teamssister companies within autodesk acquisitions of companies can take a long time for management and team members to adjust to,management is excellent autodesk is a large crop but feels very small since there are small teams that work together benefits are outstanding diversity inclusive good work life balance it can be challenging at times to know who to reach out to amongst different teamssister companies within autodesk acquisitions of companies can take a long time for management and team members to adjust to,overall amazing company in every way possible // management is excellent autodesk is a large crop but feels very small since there are small teams that work together benefits are outstanding diversity inclusive good work life balance it can be challenging at times to know who to reach out to amongst different teamssister companies within autodesk acquisitions of companies can take a long time for management and team members to adjust to,Positive,
Tripadvisor,5,27/11/2022,great culture slightly short staffed,anonymous employee,current employee,"Needham, MA",good benefits overall including travel,high level of entry to get an offer,good benefits overall including travel high level of entry to get an offer,great culture slightly short staffed // good benefits overall including travel high level of entry to get an offer,Positive,
Fujitsu,5,10/9/2023,best work place,software engineer,former employee,"Dallas, TX",good place to work with talented engineers,latest technologies is not available,good place to work with talented engineers latest technologies is not available,best work place // good place to work with talented engineers latest technologies is not available,Positive,
HP Inc.,5,10/1/2024,positive work life balance,senior internal auditor,former employee more than 5 years,"Bucharest, Bucuresti",work life balance very well sustained,medium salary as per current market offer,work life balance very well sustained medium salary as per current market offer,positive work life balance // work life balance very well sustained medium salary as per current market offer,Positive,
NTT DATA,5,15/11/2023,good managers,tsrcustomer service representative,current employee more than 1 year,"Michigan Center, MI",managers actually care a lot about you and your growth,none about the managers for sure,managers actually care a lot about you and your growth none about the managers for sure,good managers // managers actually care a lot about you and your growth none about the managers for sure,Positive,
Airbnb,5,9/10/2023,great,house cleaner,former employee more than 3 years,"Omaha, NE",good to there employees and great benefits,i cant think of one at this time,good to there employees and great benefits i cant think of one at this time,great // good to there employees and great benefits i cant think of one at this time,Positive,
Amazon Web Services,5,25/1/2024,great place for technical product managers if you can be direct,senior product manager,former employee more than 3 years,"Seattle, WA",aws is the delight of any pm that is technically solid in engineering or economics is blunt and direct and can give a punch and take one on the chin the aws culture is influenced by logic and data and most activities are efficient and effective theres really not much room for fat in the engineering and product teams in various aws services,the pace can be brutal and the decisionmaking can be long at times the recent rto has not helped morale,aws is the delight of any pm that is technically solid in engineering or economics is blunt and direct and can give a punch and take one on the chin the aws culture is influenced by logic and data and most activities are efficient and effective theres really not much room for fat in the engineering and product teams in various aws services the pace can be brutal and the decisionmaking can be long at times the recent rto has not helped morale,great place for technical product managers if you can be direct // aws is the delight of any pm that is technically solid in engineering or economics is blunt and direct and can give a punch and take one on the chin the aws culture is influenced by logic and data and most activities are efficient and effective theres really not much room for fat in the engineering and product teams in various aws services the pace can be brutal and the decisionmaking can be long at times the recent rto has not helped morale,Positive,
Amazon Web Services,5,2/2/2024,hardest job youll ever love,district sales manager,current employee more than 3 years,"San Francisco, CA",never ending challenges real career opportunities you will get a chance to take on new titles and roles you would never otherwise have access to,you will work harder longer and feel like you are never doing enough,never ending challenges real career opportunities you will get a chance to take on new titles and roles you would never otherwise have access to you will work harder longer and feel like you are never doing enough,hardest job youll ever love // never ending challenges real career opportunities you will get a chance to take on new titles and roles you would never otherwise have access to you will work harder longer and feel like you are never doing enough,Positive,Not Sure
Gojek,5,29/10/2023,great place to learn,product manager,current employee more than 3 years,Pasaraya,you will find best talents here which can upgrade yourself as well be it from your direct reports peers and manager,company is becoming too big which may lead to silos,you will find best talents here which can upgrade yourself as well be it from your direct reports peers and manager company is becoming too big which may lead to silos,great place to learn // you will find best talents here which can upgrade yourself as well be it from your direct reports peers and manager company is becoming too big which may lead to silos,Positive,
Gemalto,5,14/2/2018,servicenow administrator,servicenow administrator,current employee more than 1 year,"Belcamp, MD",being able to remote and have the flexibility is the most important benefit that this company and my manager can offer,pay could be more than what it is according to glassdoor i am at the bottom of my range,being able to remote and have the flexibility is the most important benefit that this company and my manager can offer pay could be more than what it is according to glassdoor i am at the bottom of my range,servicenow administrator // being able to remote and have the flexibility is the most important benefit that this company and my manager can offer pay could be more than what it is according to glassdoor i am at the bottom of my range,Positive,
Atos,5,14/4/2023,great company,engineering intern,former employee,"Phoenix, AZ",amenable and flexible management it is what you make of it,they limited hours to below full time,amenable and flexible management it is what you make of it they limited hours to below full time,great company // amenable and flexible management it is what you make of it they limited hours to below full time,Positive,
Microsoft,5,6/2/2024,good company,senior software engineer,current employee more than 8 years,"Redmond, WA",generally people are nice decent wlb in many of the teams,for mature products changesfeatures are slow to move,generally people are nice decent wlb in many of the teams for mature products changesfeatures are slow to move,good company // generally people are nice decent wlb in many of the teams for mature products changesfeatures are slow to move,Positive,
Infosys,5,13/2/2024,great company to work for,front end developer,former employee less than 1 year,Pune,work life balance is amazing good pay,culture should be more appreciative,work life balance is amazing good pay culture should be more appreciative,great company to work for // work life balance is amazing good pay culture should be more appreciative,Positive,
DONE by NONE,5,30/6/2023,best,director,former employee,"San Francisco, CA",awesome place to be working,but really not much to share,awesome place to be working but really not much to share,best // awesome place to be working but really not much to share,Positive,
Thomson Reuters,5,8/2/2024,loving it here,associate content specialist,current employee less than 1 year,Taguig,everyone has been supportive from my manager to my team mates everything is organized too the pay is good theres transportation subsidy shuttle service and allowances no problems on my workflow too,nothing i can think of so far,everyone has been supportive from my manager to my team mates everything is organized too the pay is good theres transportation subsidy shuttle service and allowances no problems on my workflow too nothing i can think of so far,loving it here // everyone has been supportive from my manager to my team mates everything is organized too the pay is good theres transportation subsidy shuttle service and allowances no problems on my workflow too nothing i can think of so far,Positive,
Amadeus,5,13/2/2024,solutions,anonymous employee,former employee more than 5 years,Nairobi,the place had a great working environment,none at all the people and culture was amazing,the place had a great working environment none at all the people and culture was amazing,solutions // the place had a great working environment none at all the people and culture was amazing,Positive,
Salesforce,5,19/1/2024,dream company,success guide intern,former employee less than 1 year,Buenos Aires,chatgpt you have numerous opportunities to grow and develop both personally and professionally in every aspect salesforce offers a variety of benefits with one of its core values being trust and the company consistently embodies this in its corporate culture its the best employer i have ever had and i would gladly work for salesforce again,i cannot find any negative aspects,chatgpt you have numerous opportunities to grow and develop both personally and professionally in every aspect salesforce offers a variety of benefits with one of its core values being trust and the company consistently embodies this in its corporate culture its the best employer i have ever had and i would gladly work for salesforce again i cannot find any negative aspects,dream company // chatgpt you have numerous opportunities to grow and develop both personally and professionally in every aspect salesforce offers a variety of benefits with one of its core values being trust and the company consistently embodies this in its corporate culture its the best employer i have ever had and i would gladly work for salesforce again i cannot find any negative aspects,Positive,
Concentrix,5,8/2/2024,its a great company but your experience will depend upon you process,sr representative operations,former employee less than 1 year,"Gurgaon, Haryana",i had a great experience in concentrix the management was good as they were atleast helpful to me the incentive plan was good in comcast compared to other processes transport management in also good and helpful specially for girls if they work in night shift and have to get real time cab because of medical emergency,if take a fight with your tl or manager they can make your life hell by giving you trace or warnings letter that will hamper your promotion or growth so its better to work for money and earn all incentive while also share your concerns with tl and manager calmly instead of being a rebellion,i had a great experience in concentrix the management was good as they were atleast helpful to me the incentive plan was good in comcast compared to other processes transport management in also good and helpful specially for girls if they work in night shift and have to get real time cab because of medical emergency if take a fight with your tl or manager they can make your life hell by giving you trace or warnings letter that will hamper your promotion or growth so its better to work for money and earn all incentive while also share your concerns with tl and manager calmly instead of being a rebellion,its a great company but your experience will depend upon you process // i had a great experience in concentrix the management was good as they were atleast helpful to me the incentive plan was good in comcast compared to other processes transport management in also good and helpful specially for girls if they work in night shift and have to get real time cab because of medical emergency if take a fight with your tl or manager they can make your life hell by giving you trace or warnings letter that will hamper your promotion or growth so its better to work for money and earn all incentive while also share your concerns with tl and manager calmly instead of being a rebellion,Positive,
Rakuten,5,30/4/2017,ideal place to work,customer service representative,current employee less than 1 year,"Beloit, WI",ebates is a great company to work for there are many inhouse benefits such as catered meals everyday discounted massages beverages company parties and events etc in addition to all of that you have your standard benefits which are incredibly satisfying such as health vision and dental insurance 401k life insurance etc the environment at ebates is very relaxing welcoming and friendly the office has an open floor plan which makes it easy to build rapport with your supervisors and people of higher authority there is an open door policy which makes obtaining support from supervisors or higher executives easier there are many team building events the company itself is very team oriented and sets out to make sure everyone feels like they are apart of the company and not just another employee,the communication between ebates and their member services employees could use some work there are often times when ebates member services agents are unaware of promotions or trends and supervisors will not have much knowledge on the situations,ebates is a great company to work for there are many inhouse benefits such as catered meals everyday discounted massages beverages company parties and events etc in addition to all of that you have your standard benefits which are incredibly satisfying such as health vision and dental insurance 401k life insurance etc the environment at ebates is very relaxing welcoming and friendly the office has an open floor plan which makes it easy to build rapport with your supervisors and people of higher authority there is an open door policy which makes obtaining support from supervisors or higher executives easier there are many team building events the company itself is very team oriented and sets out to make sure everyone feels like they are apart of the company and not just another employee the communication between ebates and their member services employees could use some work there are often times when ebates member services agents are unaware of promotions or trends and supervisors will not have much knowledge on the situations,ideal place to work // ebates is a great company to work for there are many inhouse benefits such as catered meals everyday discounted massages beverages company parties and events etc in addition to all of that you have your standard benefits which are incredibly satisfying such as health vision and dental insurance 401k life insurance etc the environment at ebates is very relaxing welcoming and friendly the office has an open floor plan which makes it easy to build rapport with your supervisors and people of higher authority there is an open door policy which makes obtaining support from supervisors or higher executives easier there are many team building events the company itself is very team oriented and sets out to make sure everyone feels like they are apart of the company and not just another employee the communication between ebates and their member services employees could use some work there are often times when ebates member services agents are unaware of promotions or trends and supervisors will not have much knowledge on the situations,Positive,
Autodesk,5,10/11/2023,great company to work for,territory sales representative,current employee,"Denver, CO",great benefits and time off,starting to get more corporate sales and growth targets are getting harder to hit,great benefits and time off starting to get more corporate sales and growth targets are getting harder to hit,great company to work for // great benefits and time off starting to get more corporate sales and growth targets are getting harder to hit,Positive,
Intel Corporation,5,12/2/2024,intel family company,sales executive,current employee less than 1 year,Singapore,super nice colleague and family friendly culture,not prepare to step out of comfort zone,super nice colleague and family friendly culture not prepare to step out of comfort zone,intel family company // super nice colleague and family friendly culture not prepare to step out of comfort zone,Positive,
Citrix,5,5/1/2024,great experience,goods flow coworker,former employee less than 1 year,"Fort Lauderdale, FL",the easiest sales job no one pressured you to do your job and you werent micromanaged huge state of the art modern offices beautiful faces,find understand how the made money most people slack off they keep laying off people,the easiest sales job no one pressured you to do your job and you werent micromanaged huge state of the art modern offices beautiful faces find understand how the made money most people slack off they keep laying off people,great experience // the easiest sales job no one pressured you to do your job and you werent micromanaged huge state of the art modern offices beautiful faces find understand how the made money most people slack off they keep laying off people,Positive,
EPAM Systems,5,20/10/2023,no want,head of support,former employee,"Saint Peters, MO",good people at work be there,don t want to increase the salary,good people at work be there don t want to increase the salary,no want // good people at work be there don t want to increase the salary,Positive,
Airbnb,5,28/1/2024,great company to work for,software engineer,current employee,"San Francisco, CA",great wlb if thats what youre looking for,not a lot of new initiatives,great wlb if thats what youre looking for not a lot of new initiatives,great company to work for // great wlb if thats what youre looking for not a lot of new initiatives,Positive,
Cisco Systems,5,2/2/2024,good stable company,software engineer,current employee more than 3 years,"San Jose, CA",the people are very helpful and knowledgeable there are many different teams to work for from hardware to software ai routers switches security collaboration it tools etc,ok company growth outlook not the best but at least very stable in terms of promotion and work life balance,the people are very helpful and knowledgeable there are many different teams to work for from hardware to software ai routers switches security collaboration it tools etc ok company growth outlook not the best but at least very stable in terms of promotion and work life balance,good stable company // the people are very helpful and knowledgeable there are many different teams to work for from hardware to software ai routers switches security collaboration it tools etc ok company growth outlook not the best but at least very stable in terms of promotion and work life balance,Positive,
Wipro,5,23/1/2024,its my first job here and very good place to start my career,associate,current employee less than 1 year,Pune,1 you will get a great work environment 2wipro 5 values are not just wall stickers actually they are thoroughly followed here,1sometimes i felt like whom to contact whenever i want some help regarding official stuff i dont feel confident to talk with staff,1 you will get a great work environment 2wipro 5 values are not just wall stickers actually they are thoroughly followed here 1sometimes i felt like whom to contact whenever i want some help regarding official stuff i dont feel confident to talk with staff,its my first job here and very good place to start my career // 1 you will get a great work environment 2wipro 5 values are not just wall stickers actually they are thoroughly followed here 1sometimes i felt like whom to contact whenever i want some help regarding official stuff i dont feel confident to talk with staff,Positive,
NTT Ltd.,5,30/11/2023,great company for worklife balance,remote delivery engineer,current employee more than 3 years,Prague,great work life balance good offices with relax zone and coffee excellent colleagues managers who care trainings and education,sometimes arbitrary upper management decisions arent too in line with employee reality,great work life balance good offices with relax zone and coffee excellent colleagues managers who care trainings and education sometimes arbitrary upper management decisions arent too in line with employee reality,great company for worklife balance // great work life balance good offices with relax zone and coffee excellent colleagues managers who care trainings and education sometimes arbitrary upper management decisions arent too in line with employee reality,Positive,
Hewlett Packard Enterprise | HPE,5,19/1/2024,great company,sr strategic sourcing manager,current employee,"Houston, TX",we will beat dell soon,nothing i can think of,we will beat dell soon nothing i can think of,great company // we will beat dell soon nothing i can think of,Positive,
NTT DATA,5,15/10/2023,working at nttdata,customer service representative,current employee more than 3 years,"Jackson, MS",the managers were always available for questions,it is a lot of information to learn in training,the managers were always available for questions it is a lot of information to learn in training,working at nttdata // the managers were always available for questions it is a lot of information to learn in training,Positive,
UST,5,6/12/2023,very good company,customer service representative,current employee less than 1 year,"Washington, DC",remote work decent pay great work environment,no cons besides the fact that it can be tiring working with customers,remote work decent pay great work environment no cons besides the fact that it can be tiring working with customers,very good company // remote work decent pay great work environment no cons besides the fact that it can be tiring working with customers,Positive,
Cisco Systems,5,6/2/2024,good company taking care of people,vendor manager,current employee more than 8 years,Kraków,people atmoshpere salary benefits culture,company is huge and obviosuly corporate culture might not be fit for all,people atmoshpere salary benefits culture company is huge and obviosuly corporate culture might not be fit for all,good company taking care of people // people atmoshpere salary benefits culture company is huge and obviosuly corporate culture might not be fit for all,Positive,
Rakuten,5,21/9/2021,very diverse,director of strategic partnerships,current employee,"Salt Lake City, UT",all about diversity inclusion many employee perks and resources,hard to grow in roles,all about diversity inclusion many employee perks and resources hard to grow in roles,very diverse // all about diversity inclusion many employee perks and resources hard to grow in roles,Positive,
NTT Ltd.,5,20/12/2023,ntt review,servicenow developer,current employee,Johannesburg,good working environment and colleagues are friendly,i have not experience any downsides while i am here,good working environment and colleagues are friendly i have not experience any downsides while i am here,ntt review // good working environment and colleagues are friendly i have not experience any downsides while i am here,Positive,
Motorola Solutions,5,7/2/2024,sales,sales associate,current employee more than 3 years,Dubai,good company with many multinational employees,there is no much cons because of company culture,good company with many multinational employees there is no much cons because of company culture,sales // good company with many multinational employees there is no much cons because of company culture,Positive,
ByteDance,5,30/1/2024,good,data analyst,current employee,"San Jose, CA",nice work will recommend to friends,nothing to add at here,nice work will recommend to friends nothing to add at here,good // nice work will recommend to friends nothing to add at here,Positive,
Bloomberg,5,31/1/2024,company culture,account manager,current employee more than 1 year,"New York, NY",great benefits strong job security and career progression for strong performers,lack of transparency around rto policy,great benefits strong job security and career progression for strong performers lack of transparency around rto policy,company culture // great benefits strong job security and career progression for strong performers lack of transparency around rto policy,Positive,
Microsoft,5,26/1/2024,everything everywhere all at once,technical writer,current employee,"Indianapolis, IN",great senior leadership benefits and work flexibility,this is not exactly a con but is something to consider its a huge company that comes with a lot of complexity and various work cultures you need to be able to navigate through ambiguity at times and advocate for yourself working for microsoft is not for the faint of heart,great senior leadership benefits and work flexibility this is not exactly a con but is something to consider its a huge company that comes with a lot of complexity and various work cultures you need to be able to navigate through ambiguity at times and advocate for yourself working for microsoft is not for the faint of heart,everything everywhere all at once // great senior leadership benefits and work flexibility this is not exactly a con but is something to consider its a huge company that comes with a lot of complexity and various work cultures you need to be able to navigate through ambiguity at times and advocate for yourself working for microsoft is not for the faint of heart,Positive,
Honeywell,5,26/1/2024,sr managers,plant manager,current employee more than 8 years,Bangalore Rural,as a leader you are free to challenge redefine the process drive the things your own way to meet organisation objectives,little bureaucratic environment to manage internal local global stakeholders,as a leader you are free to challenge redefine the process drive the things your own way to meet organisation objectives little bureaucratic environment to manage internal local global stakeholders,sr managers // as a leader you are free to challenge redefine the process drive the things your own way to meet organisation objectives little bureaucratic environment to manage internal local global stakeholders,Positive,
Expedia Group,5,19/9/2023,one of the best companies to work for,software technical specialist,former employee more than 5 years,"Dallas, TX",amazing healthcare benefits my friends that worked in healthcare even said we had better benefits then them a true worklife balance environment throughout to company the ceo even established mental health days during covid times flexibility employee stock program great offices throughout the world with inclusive events for all groups,the company is very much pushing towards full inoffice due to purchasing and remodeling huge offices all over the globe this is the biggest complaint throughout the company and really the only con,amazing healthcare benefits my friends that worked in healthcare even said we had better benefits then them a true worklife balance environment throughout to company the ceo even established mental health days during covid times flexibility employee stock program great offices throughout the world with inclusive events for all groups the company is very much pushing towards full inoffice due to purchasing and remodeling huge offices all over the globe this is the biggest complaint throughout the company and really the only con,one of the best companies to work for // amazing healthcare benefits my friends that worked in healthcare even said we had better benefits then them a true worklife balance environment throughout to company the ceo even established mental health days during covid times flexibility employee stock program great offices throughout the world with inclusive events for all groups the company is very much pushing towards full inoffice due to purchasing and remodeling huge offices all over the globe this is the biggest complaint throughout the company and really the only con,Positive,
Virtusa,5,16/11/2023,decent company,senior java developer,current employee,"Ohio, NY",good pay and fine benefits,fully remote and high security check,good pay and fine benefits fully remote and high security check,decent company // good pay and fine benefits fully remote and high security check,Positive,
Gojek,5,15/1/2024,great culture,software engineer,current employee more than 1 year,Singapore,great culture in the company youll be busy but not overworked,career progression might be difficult,great culture in the company youll be busy but not overworked career progression might be difficult,great culture // great culture in the company youll be busy but not overworked career progression might be difficult,Positive,
Red Hat,5,7/1/2024,red hat constantly finds balance,senior software engineer,current employee more than 1 year,"Louisville, KY",good worklife balance ymmv based on teamproject encourages employee contributions and development listens to feedback,opensource values are being balanced against enterprise objectives no matter where red hat draws the line some stakeholders internally and externally inevitably feel like red hat is selling out,good worklife balance ymmv based on teamproject encourages employee contributions and development listens to feedback opensource values are being balanced against enterprise objectives no matter where red hat draws the line some stakeholders internally and externally inevitably feel like red hat is selling out,red hat constantly finds balance // good worklife balance ymmv based on teamproject encourages employee contributions and development listens to feedback opensource values are being balanced against enterprise objectives no matter where red hat draws the line some stakeholders internally and externally inevitably feel like red hat is selling out,Positive,
Motorola Solutions,5,5/2/2024,solving for safer,sr mgr operations,current employee more than 3 years,"Chicago, IL",mission driven org that is growing fast both organically and inorganically a place full of opportunity solving for safer,none to share at this moment in time really enjoy msi,mission driven org that is growing fast both organically and inorganically a place full of opportunity solving for safer none to share at this moment in time really enjoy msi,solving for safer // mission driven org that is growing fast both organically and inorganically a place full of opportunity solving for safer none to share at this moment in time really enjoy msi,Positive,
SAP,5,28/12/2023,great company,anonymous employee,current employee more than 10 years,"Houston, TX",love working for sap i have no regrets,no problem or complaint as lot get resolved fast,love working for sap i have no regrets no problem or complaint as lot get resolved fast,great company // love working for sap i have no regrets no problem or complaint as lot get resolved fast,Positive,
Apple,5,13/2/2024,amazing work environment,product designer,former employee more than 1 year,"Palo Alto, CA",great salary and enjoyed working with the team,working hours can take a toll but in general great company to work for,great salary and enjoyed working with the team working hours can take a toll but in general great company to work for,amazing work environment // great salary and enjoyed working with the team working hours can take a toll but in general great company to work for,Positive,
Cognizant Technology Solutions,5,2/2/2024,good company to learn and grow,associate software engineer,current employee more than 3 years,"Atlanta, GA",employees get a chance to develop their skills and get promoted,communication outside of the team members on the company is limited would be great if they can do that and make it open to change projects with in the company,employees get a chance to develop their skills and get promoted communication outside of the team members on the company is limited would be great if they can do that and make it open to change projects with in the company,good company to learn and grow // employees get a chance to develop their skills and get promoted communication outside of the team members on the company is limited would be great if they can do that and make it open to change projects with in the company,Positive,
Honeywell,5,13/2/2024,good place to start,network engineer,current employee more than 3 years,"Toronto, ON",decent pay and nice team,no structured work process might get overloaded often,decent pay and nice team no structured work process might get overloaded often,good place to start // decent pay and nice team no structured work process might get overloaded often,Positive,
NEC Corporation,5,14/9/2021,good for learning high workload environment,it support engineer,current employee more than 1 year,"Rancho Cordova, CA",learn a lot of project management and become a master of individual projects while leading working with team,high workload and high stress,learn a lot of project management and become a master of individual projects while leading working with team high workload and high stress,good for learning high workload environment // learn a lot of project management and become a master of individual projects while leading working with team high workload and high stress,Positive,
Motorola Solutions,5,5/1/2024,amazing job,engineer,current employee less than 1 year,"Plantation, FL",youre full of good people,havent had any yet to be honest,youre full of good people havent had any yet to be honest,amazing job // youre full of good people havent had any yet to be honest,Positive,
Qualcomm,5,13/1/2024,great place to be,senior staff software engineer,current employee more than 5 years,"San Diego, CA",i like the work culture benefits are good health insurance options great,work pressure to deliver can be intense at times,i like the work culture benefits are good health insurance options great work pressure to deliver can be intense at times,great place to be // i like the work culture benefits are good health insurance options great work pressure to deliver can be intense at times,Positive,
AMD,5,27/1/2024,great place to work,buyer,current employee less than 1 year,"Austin, TX",love the culture and the people i work with,there was a lot of type a managers,love the culture and the people i work with there was a lot of type a managers,great place to work // love the culture and the people i work with there was a lot of type a managers,Positive,
Hitachi,5,18/9/2023,employee,anonymous employee,current employee more than 5 years,"California, MD",amazing company to work with,no bad all good company,amazing company to work with no bad all good company,employee // amazing company to work with no bad all good company,Positive,
Hewlett Packard Enterprise | HPE,5,12/1/2024,one of the best places to work,engineering manager,current employee more than 5 years,Bengaluru,excellent benefits and extremely good culture,lot of org changes and constant change of focus,excellent benefits and extremely good culture lot of org changes and constant change of focus,one of the best places to work // excellent benefits and extremely good culture lot of org changes and constant change of focus,Positive,
LinkedIn,5,14/12/2023,great company,account executive,former employee,"New York, NY",great work culture love the office,no real cons at the moment,great work culture love the office no real cons at the moment,great company // great work culture love the office no real cons at the moment,Positive,
Cisco Systems,5,4/2/2024,cisco high touch operations management,high touch operations manager htom,former employee more than 5 years,"London, England",inclusive workplace flexible working company culture,cisco is an excellent place to work i cant think of any cons,inclusive workplace flexible working company culture cisco is an excellent place to work i cant think of any cons,cisco high touch operations management // inclusive workplace flexible working company culture cisco is an excellent place to work i cant think of any cons,Positive,
X,5,9/11/2023,its okay,business analyst,current employee,"San Francisco, CA",pay is okay but could be better,the job can be mundane or boring at times,pay is okay but could be better the job can be mundane or boring at times,its okay // pay is okay but could be better the job can be mundane or boring at times,Positive,
Xilinx,5,20/9/2022,great teams to work with,technical marketing manager,current employee more than 8 years,"San Jose, CA",industry leader with interesting versatile products,difficult worklife balance could have better out of the box customer experience,industry leader with interesting versatile products difficult worklife balance could have better out of the box customer experience,great teams to work with // industry leader with interesting versatile products difficult worklife balance could have better out of the box customer experience,Positive,
Marvell Technology,5,16/1/2024,great company,staff engineer,current employee more than 1 year,Ettlingen,good pay great international environment growth,no canteen due to short number of employees,good pay great international environment growth no canteen due to short number of employees,great company // good pay great international environment growth no canteen due to short number of employees,Positive,
Meltwater,5,13/2/2024,exceptional growth opportunities and supportive leadership,head of talent acquisition,current employee more than 3 years,"Miami, FL",ample opportunities for professional development and growth investment in employees from leadership great internal mobility program innovative and collaborative team culture global exposure access to competitive benefits and flexibility,the fastpaced nature can sometimes be challenging for individuals who prefer a more structured or slowerpaced work environment keeping up with the rapid pace of change and high expectations may require adaptation for some employees,ample opportunities for professional development and growth investment in employees from leadership great internal mobility program innovative and collaborative team culture global exposure access to competitive benefits and flexibility the fastpaced nature can sometimes be challenging for individuals who prefer a more structured or slowerpaced work environment keeping up with the rapid pace of change and high expectations may require adaptation for some employees,exceptional growth opportunities and supportive leadership // ample opportunities for professional development and growth investment in employees from leadership great internal mobility program innovative and collaborative team culture global exposure access to competitive benefits and flexibility the fastpaced nature can sometimes be challenging for individuals who prefer a more structured or slowerpaced work environment keeping up with the rapid pace of change and high expectations may require adaptation for some employees,Positive,
